Name,Country,Discipline,Event
POSMYK Dominik,Germany,Volleyball,Men
SALLAH Mariama M.,Gambia,Taekwondo,
TUMILTY Mark,Ireland,Hockey,
TOTH Balazs,Germany,Taekwondo,
QUSAI MUNIR,Iraq,Football,Men
CRUZ LOPEZ Jose L,Puerto Rico,Basketball,Men
COLON Nelson,Puerto Rico,Basketball,Men
CRUZ Rafael,Puerto Rico,Basketball,Men
BESHEER Gamal,Egypt,Artistic Gymnastics,
MOHAMED Ahmed,Egypt,Artistic Gymnastics,
ABDELMEGUID Zakaria,Egypt,Artistic Gymnastics,
MOHAMED Mayar,Egypt,Rhythmic Gymnastics,
HUSSEIN Noha,Egypt,Rhythmic Gymnastics,
MOUNDOUNGA KOMBILA Stephane,Gabon,Taekwondo,
MLADENOVA Albena,Austria,Artistic Swimming,Duet
AL-ASSAF Faris,Jordan,Taekwondo,
ALSADEQ Yazan,Jordan,Taekwondo,
ALJALLAD Riham,Jordan,Taekwondo,
KRAVCHENKO Sergiy,Ukraine,Football,
ROTAN Ruslan,Ukraine,Football,Men
SIREKANYAN Gurgen,Jordan,Artistic Gymnastics,
FREHSE Gabriele,Austria,Artistic Gymnastics,
SAHIN Ali,Türkiye,Taekwondo,
TAZEGUL Servet,Türkiye,Taekwondo,
BABEL Vincent,Suriname,Taekwondo,
GOKTEKIN Yilmaz,Türkiye,Artistic Gymnastics,
NURI Tufan,Türkiye,Artistic Gymnastics,
GOJKOVIC Vladimir,Montenegro,Water Polo,Men
TOMAS Toni,Great Britain,Taekwondo,
LAURA Veljko,Croatia,Taekwondo,
MESAROV Dejan,Croatia,Taekwondo,
GALAMBOS Bence,Hungary,Taekwondo,
MARTON Luana,Hungary,Taekwondo,
SALIM Gergely,Hungary,Taekwondo,
SALIM Sharif Gergely,Hungary,Taekwondo,
MIKKONEN Suvi,Hungary,Taekwondo,
ROUSSEAUX Emile,France,Volleyball,Women
ANDRE Felix,France,Volleyball,Women
GAUTHIER Charles,France,Volleyball,Women
TOUPANE Jean Aime,France,Basketball,Women
MELAIN Catherine,France,Basketball,Women
GAUTIER David,France,Basketball,
HALIN Gregory,France,Basketball,
LEONARD Christophe,France,Basketball,
COLLET Vincent,France,Basketball,Men
DONNADIEU Pascal,France,Basketball,Men
ATKINSON Kenny,France,Basketball,Men
NELHOMME Ruddy,France,Basketball,
GOMIS Joseph,France,Basketball,
CIAMARRA Roberto,France,Volleyball,Men
GEILER Loic,France,Volleyball,Men
GIANI Andrea,France,Volleyball,Men
WENG Shih-Hang,Chinese Taipei,Artistic Gymnastics,
TSAI Heng-Cheng,Chinese Taipei,Artistic Gymnastics,
SANTARELLI Daniele,Türkiye,Volleyball,Women
FLISI Diego,Türkiye,Volleyball,Women
ZOTTA Andrea,Türkiye,Volleyball,Women
VATANSEVER Recep,Türkiye,Volleyball,Women
DARET Jerome,France,Rugby Sevens,Men
KRUMBHOLZ Olivier,France,Handball,Women
GARDILLOU Sebastien,France,Handball,Women
LEYNAUD Amandine,France,Handball,Women
GALKIN Evgeniy,Uzbekistan,Artistic Gymnastics,
